id,gold_answer,model_extracted,question
651,"['0.812', '3.58', '39.347']","['0.812', '3.58', '39.350']","The voltage V across a charged capacitor is given by $V(t)=6 e^{-0.5 t}$ where t is in seconds.
(a) What is the voltage after 4 seconds? [ANS] volts (round to the nearest 0.001 volts)
(b) When will the voltage be 1? In [ANS] seconds (round to the nearest 0.01 sec.)
(c) By what percent does the voltage decrease each second? [ANS] \% (round to the nearest 0.001\%)"
656,"['4.96812538338943', '1.88079', 'A', '1.29535405916128', '3.30464594083872']","['4.968', '1.88', 'A', '1.294', '3.306']","Randomly selected $130$ student cars have ages with a mean of $7.6$ years and a standard deviation of $3.6$ years, while randomly selected $95$ faculty cars have ages with a mean of $5.3$ years and a standard deviation of $3.3$ years. 1. $\ $ Use a $0.03$ significance level to test the claim that student cars are older than faculty cars. The test statistic is [ANS]
The critical value is [ANS]
Is there sufficient evidence to support the claim that student cars are older than faculty cars? [ANS] A. Yes  B. No
2. $\ $ Construct a $97$ \% confidence interval estimate of the difference $\mu_1-\mu_2$, where $\mu_1$ is the mean age of student cars and $\mu_2$ is the mean age of faculty cars. [ANS] $< (\mu_1-\mu_2) <$ [ANS]"
658,"['3', '11', '7', '15']","['\\dfrac{3}{11}', '\\dfrac{7}{15}']","Express the repeating decimal $r_{1}=0.\overline{27}$ as a fraction. Hint: $100r_{1}-r_{1}$ is an integer. $0.\overline{27}=$ [ANS] $/$ [ANS]. Then express the repeating decimal $r_{2}=0.4\overline{6}$ as a fraction. $0.4\overline{6}=$ [ANS] $/$ [ANS]. Note: Enter both fractions in reduced terms. That is, numerator and denominator should have no common factors."
660,"['365*[d/(9.3E+7)]^(3/2)', '60298']","['P(d) = 365 \\sqrt{\\left(\\frac{d}{93,000,000}\\right)^3}, 60225']","One of Kepler's three laws of planetary motion states that the square of the period, $P$, of a body orbiting the sun is proportional to the cube of its average distance, $d$, from the sun. The Earth has a period of 365 days and its distance from the sun is approximately $93,000,000$ miles.
(a) Find $P$ as a function of $d$. $P(d)=$ [ANS]
(b) The planet Neptune has an average distance from the sun of $2,800,000,000$ miles. How many earth days are in a Neptune year--in other words, what is the period of the planet Neptune? [ANS] days (Round to nearest day and do not enter commas in your answer.)"
661,"['10 * x = 3 * x + 168', '24']",['24'],"Video Store A charges \$10 to rent a video game for one week. Although only members can rent from the store, membership is free. Video Store B charges only \$3 to rent a video game for one week. Only members can rent from the store and membership is \$168 per year. After how many video game rentals will the total amount spent at each store be the same? a) Write an equation to model the problem. Let x represent the number of video game rentals. Answer: [ANS]
b) Solve your equation to answer the question. (Note: Your answer should be in the form 29 rentals. 29 rentals.) Answer: [ANS]"
664,"['D', 'A']","['D', 'A']","For each problem, select the best response.
(a) A study found a correlation of r=-0.61 between the gender of a worker and his or her income. You may correctly conclude [ANS] A. women earn less than men on average.  B. women earn more than men on average.  C. an arithmetic mistake was made. Correlation must be positive.  D. this is incorrect because r makes no sense here.  E. None of the above.
(b) For a biology project, you measure the weight in grams and the tail length in millimeters of a group of mice. The correlation is r=0.6. If you had measured tail length in centimeters instead of millimeters, what would be the correlation? (There are 10 millimeters in a centimeter.) [ANS] A. 0.6  B. 0.6/10=0.06  C. (0.6)(10)=6  D. None of the above."
666,"['-2.07472077962287', '(-infinity,-1.77093)', '0.0292144', 'A']","['-2.23', '(-\\infty, -1.771)', '0.028', 'A. Reject \\(H_0\\)']","Random samples of resting heart rates are taken from two groups. Population 1 exercises regularly, and Population 2 does not. The data from these two samples is given below: Population 1: 68, 70, 69, 73, 72, 67, 70 Population 2: 69, 76, 73, 73, 78, 72, 72, 69 Is there evidence, at an $\alpha=0.05$ level of significance, to conclude that there those who exercise regularly have lower resting heart rates? (Assume that the population variances are equal.) Carry out an appropriate hypothesis test, filling in the information requested. A. The value of the standardized test statistic: [ANS]
Note: For the next part, your answer should use interval notation. An answer of the form $(-\infty, a)$ is expressed (-infty, a), an answer of the form $(b, \infty)$ is expressed (b, infty), and an answer of the form $(-\infty, a) \cup (b, \infty)$ is expressed (-infty, a)U(b, infty). B. The rejection region for the standardized test statistic: [ANS]
C. The p-value is [ANS]
D. Your decision for the hypothesis test: [ANS] A. Reject $H_0$.  B. Do Not Reject $H_0$.  C. Do Not Reject $H_1$.  D. Reject $H_1$."
668,"['16', '9']","['16', '9']","A test has $25$ problems, which are worth a total of $152$ points. There are two types of problems in the test. Each multiple-choice problem is worth $5$ points, and each short-answer problem is worth $8$ points. Write and solve a system equation to answer the following questions.
This test has [ANS] multiple-choice problems and [ANS] short-answer problems."
670,"['9', '9', '363', '218', '17']","['9', '9', '363', '218, 17']","1) The cafeteria workers keep small milk cartons in the refrigerator in stacks of 7. If each worker carries no more than one stack then at least [ANS] cafeteria workers needed to carry small milk cartons for a class of 60. 2) In the teacher's lunchroom, teachers sit at tables for 6. There are 49 teachers eating lunch, so [ANS] tables must be set up. 3) A truck is loaded with 9801 kilograms of food. Each box of food weighs 27 kilograms. That means that there are [ANS] boxes on the truck. 4) There are 5249 auto parts to be packed for a shipment with as many boxes full as possible. The parts are to be packed 24 to a box. There will be [ANS] full boxes and [ANS] parts left over."
673,"['0.424655', '552.6', '5.09382', '1.06', '0.144572']","['0.424', '552.6', '5.086', '1.062', '0.1446']","The scores of students on the SAT college entrance examinations at a certain high school had a normal distribution with mean $\mu=552.6$ and standard deviation $\sigma=27.9$.
(a) What is the probability that a single student randomly chosen from all those taking the test scores 558 or higher? ANSWER: [ANS]
For parts (b) through (d), consider a simple random sample (SRS) of 30 students who took the test. (b) What are the mean and standard deviation of the sample mean score $\bar x$, of 30 students? The mean of the sampling distribution for $\bar x$ is: [ANS]
The standard deviation of the sampling distribution for $\bar x$ is: [ANS]
(c) What z-score corresponds to the mean score $\bar x$ of 558? ANSWER: [ANS]
(d) What is the probability that the mean score $\bar x$ of these students is 558 or higher? ANSWER: [ANS]"
675,['153.484937503751'],['153.49'],"Two ships leave a harbor at the same time, traveling on courses that have an angle of $130 ^\circ$ between them. If the first ship travels at $28$ miles per hour and the second ship travels at $37$ miles per hour, how far apart are the two ships after $2.6$ hours?
distance=[ANS]"
678,"['0.8', '0.55', '0.833333', '0.9', '0.76', '0.66', '0.6', '0.45']","['0.8, 0.55, 0.833, 0.9, 0.76, 0.66, 0.6, 0.45']","Change the following fractions to decimals. If answer is a repeating decimal, round to 3 decimal places. $\frac{40}{50}$=[ANS]. $\frac{11}{20}$=[ANS]. $\frac{5}{6}$=[ANS]. $\frac{9}{10}$=[ANS]. $\frac{19}{25}$=[ANS]. $\frac{33}{50}$=[ANS]. $\frac{3}{5}$=[ANS]. $\frac{18}{40}$=[ANS]."
679,"['2.22867162286499', '4.17132837713501', '0.200490371187115', '0.499909628812885']","['2.23 \\leq \\mu \\leq 4.17', '0.20 \\leq \\mu \\leq 0.50']","Periodically, the county Water Department tests the drinking water of homeowners for contaminants such as lead and copper. The lead and copper levels in water specimens collected in 1998 for a sample of 10 residents of a subdevelopement of the county are shown below.
$\begin{array}{cc}\hline lead (\mug/L) & copper (mg/L) \\ \hline 2 & 0.391 \\ \hline 2.2 & 0.142 \\ \hline 4.4 & 0.385 \\ \hline 3.7 & 0.457 \\ \hline 1.8 & 0.357 \\ \hline 3 & 0.355 \\ \hline 3.5 & 0.121 \\ \hline 4.5 & 0.588 \\ \hline 3.5 & 0.243 \\ \hline 3.4 & 0.463 \\ \hline \end{array}$
(a) $\ $ Construct a $99$ \% confidence interval for the mean lead level in water specimans of the subdevelopment. [ANS] $\leq \mu \leq$ [ANS]
(b) $\ $ Construct a $99$ \% confidence interval for the mean copper level in water specimans of the subdevelopment. [ANS] $\leq \mu \leq$ [ANS]"
682,"['107.3', '8.5', '87.8', '5.9']","['107.3, 8.49, 87.8, 5.91']","Scrapie is a degenerative disease of the nervous system. A study of the substance IDX as a treatment for scrapie used as subjects 28 infected hamsters. Fourteen, chosen at random, were injected with IDX. The other 14 were untreated. The researchers recorded how long each hamster lived. They reported: Thus, although all infected control hamsters had died by 94 days after infection (mean $\pm$ SEM=87.8 $\pm$ 1.58), IDX-treated hamsters lived up to 116 days (mean $\pm$ SEM=107.3 $\pm$ 2.27). Readers are supposed to know that SEM stands for the standard error of the mean.
(a) For the group injected with IDX, find:
The mean, $\bar x$=[ANS]
The standard deviation, $s$=[ANS]
(b) For the untreated group, find:
The mean, $\bar x$=[ANS]
The standard deviation, $s$=[ANS]"
684,"['C', 'A', 'B']","['C', 'B', 'B']","For the following problems, select the best response.
(a) The number of hours a light bulb burns before failing varies from bulb to bulb. The distribution of burnout times is strongly skewed to the right. The central limit theorem says that [ANS] A. the average burnout time of a large number of bulbs has a distribution of the same shape (strongly skewed) as the distribution for individual bulbs.  B. as we look at more and more bulbs, their average burnout time gets ever closer to the mean for all bulbs of this type.  C. the average burnout time of a large number of bulbs has a distribution that is close to Normal.  D. None of the above.
(b) A study of voting chose 663 registered voters at random shortly after an election. Of these, 72\% said they had voted in the election. Election records show that only 56\% of registered voters voted in the election. The boldface number is a [ANS] A. parameter.  B. statistic.  C. sampling distribution.  D. None of the above.
(c) Annual returns on the more than 5000 common stocks available to investors vary a lot. In a recent year, the mean return was 8.3\% and the standard deviation of return was 28.5\%. The law of large numbers says that [ANS] A. if you invest in a large number of stocks chosen at random, your average return will have approximately a Normal distribution.  B. as you invest in more and more stocks chosen at random that year, your average return on these stocks gets ever closer to 8.3\%.  C. you can get an average return higher than the mean 8.3\% by investing in a large number of stocks.  D. None of the above."
689,['37.7261404719399'],['37.7200'],"Frank and Marie set sail from the same point. Frank is sailing in the direction $S 7^\circ E$. Marie is sailing in the direction $S 13^\circ W$. After 8 hours, Marie was 13 miles due west of Frank. How far had Marie sailed? Round your answer to four decimal places. Distance Marie sailed=[ANS] miles."
693,['92.5821168498253'],['92'],"You are taking a road trip in a car without A/C. The temperture in the car is 104 degrees F. You buy a cold pop at a gas station. Its initial temperature is 45 degrees F. The pop's temperature reaches 60 degrees F after 32 minutes. Given that \frac{T-A}{T_0-A}=e^{-kt} where $T=$ the temperature of the pop at time t. $T_0=$ the initial temperature of the pop. $A=$ the temperature in the car. $k=$ a constant that corresponds to the warming rate. and $t=$ the length of time that the pop has been warming up.
How long will it take the pop to reach a temperature of 78.75 degrees F? It will take [ANS] minutes."
694,"['-0.000100632340* x+14.2363444745559', '11.6199036434809']","['14.24 - 0.000101x', '11.62']","The table below shows (lifetime) peptic ulcer rates (per 100 population), $U$, for various family incomes, $x$, as reported by the 1989 National Health Interview Survey.
$\begin{array}{cccccccccc}\hline Income & 4000 & 6000 & 8000 & 12000 & 16000 & 20000 & 30000 & 45000 & 60000 \\ \hline Ulcer rate & 14.2 & 13.4 & 13.2 & 13.1 & 12.7 & 12.1 & 11.2 & 9.9 & 8.1 \\ \hline \end{array}$
(a) Find the equation of the regression line. Ulcer rate, $U(x)=$ [ANS]. (b) Estimate the peptic ulcer rate for an income level of $x_0=$ 26000 according to the linear model in part (a). Ulcer rate, $U(x_0)=$ [ANS]."
695,"['19.7954432506913', '37.8557852142874']","['19.78', '37.85']","There are currently 25 frogs in a (large) pond. The frog population grows exponentially, tripling every 10 days. How long will it take (in days) for there to be 220 frogs in the pond? Time to 220 frogs: [ANS] days The pond's ecosystem can support 1600 frogs. How long until the situation becomes critical? Time to 1600 frogs: [ANS] days"
696,"['1', '8']","['1', '8']","Identify the exponent and the coefficient in the following power function: The perimeter of a regular octagon of side $x$ is $P=8x$.
Exponent=[ANS]
Coefficient=[ANS]"
701,"['0', '0', '(2, 3)', 'NONE']","['0, 0, 2, 3, NONE']","Suppose a function $h$ is given by the following table of values.
$\begin{array}{cccccccc}\hline t=&-3 &-2 &-1 & 0 & 1 & 2 & 3 \\ \hline h(t)=&-2 &-2 &-1 &-4 &-1 & 0 & 0 \\ \hline \end{array}$
Use the table to fill in the missing values. There may be more than one correct answer, in which case you should enter your answers as a comma separated list. If there are no correct answers, enter NONE. $h \big($ [ANS] $\big)=2h(-2)$ $h \big($ [ANS] $\big)=2h(1)+h(-3)$ $h \big($ [ANS] $\big)=h(2)$ $h \big($ [ANS] $\big)=h(-1)+h(-3)$"
702,['10^(-2)'],['0.01'],"Find the hydrogen ion concentration for Lemon Juice, with a pH of 2.0. Hint: $pH=-\log{\lbrack H^+\rbrack}$. [ANS] moles per liter"
703,"['0', '0', '9', '0', '-9', '0', '0', '4', '0', '-4', '8.06225774829855', '0', '-8.06225774829855', '0', '-7', '7', '-3', '7', '-11', '7', '-7', '16', '-7', '-2', '-7', '15.0622577482985', '-7', '-1.06225774829855', '6', '4', '10', '4', '2', '4', '6', '7', '6', '1', '8.64575131106459', '4', '3.35424868893541', '4']","['(0, 0), (9, 0), (-9, 0), (0, 4), (0, -4), (\\sqrt{65}, 0), (-\\sqrt{65}, 0),\n(-7, 7), (-3, 7), (-11, 7), (-7, 16), (-7, -2), (-7, 7+\\sqrt{65}), (-7, 7-\\sqrt{65}),\n(6, 4), (10, 4), (2, 4), (6, 7), (6, 1), (6+\\sqrt{7}, 4), (6-\\sqrt{7}, 4)']","Find the center, vertices, and foci of each ellipse.
(a) $ \frac{x^2}{81}+\frac{y^2}{16}=1$ Center: ([ANS], [ANS]) Right vertex: ([ANS], [ANS]) Left vertex: ([ANS], [ANS]) Top vertex: ([ANS], [ANS]) Bottom vertex: ([ANS], [ANS]) Right focus: ([ANS], [ANS]) Left focus: ([ANS], [ANS])
(b) $ \frac{(x+7)^2}{16}+\frac{(y-7)^2}{81}=1$ Center: ([ANS], [ANS]) Right vertex: ([ANS], [ANS]) Left vertex: ([ANS], [ANS]) Top vertex: ([ANS], [ANS]) Bottom vertex: ([ANS], [ANS]) Top focus: ([ANS], [ANS]) Bottom focus: ([ANS], [ANS])
(c) $9x^2+16 y^2-108x-128 y+436=0$ Center: ([ANS], [ANS]) Right vertex: ([ANS], [ANS]) Left vertex: ([ANS], [ANS]) Top vertex: ([ANS], [ANS]) Bottom vertex: ([ANS], [ANS]) Right focus: ([ANS], [ANS]) Left focus: ([ANS], [ANS])"
706,"['2.74336', '0.0031']","['2.74', '0.0030']","A noted psychic was tested for ESP. The psychic was presented with 240 cards face down and was asked to determine if the card was one of 5 symbols: a star, cross, circle, square, or three wavy lines. The psychic was correct in 65 cases. Let $p$ represent the probability that the psychic correctly identifies the symbol on the card in a random trial. Assume the 240 trials can be treated as an SRS from the population of all guesses. To see if there is evidence that the psychic is doing better than just guessing, we test $H_0: p=.2$ $H_a: p >.2$
(a) What is the $z$-statistic for this test? [ANS]
(b) What is the P-value of the test? [ANS]"
708,"['240', '400']","['240', '400']","You poured some $8\%$ alcohol solution and some $12\%$ alcohol solution into a mixing container. Now you have $640$ grams of $10.5 \%$ alcohol solution. How many grams of $8\%$ solution and how many grams of $12 \%$ solution did you pour into the mixing container? Write and solve a system equation to answer the following questions.
You mixed [ANS] grams of $8\%$ solution with [ANS] grams of $12\%$ solution."
710,"['422.195490394894', '573.804509605106', 'C']","['(422.25, 573.75)', 'C']","The ability of lizards to recognize their predators via tongue flicks can often mean life or death for lizards. Seventeen juvenile common lizards were exposed to the chemical cues of the viper snake. Their responses, in number of tongue flicks per 20 minutes, are presented below. 659, 540, 574, 642, 370, 387, 540, 540, 421, 489, 591, 353, 506, 455, 438, 455, 506 a) Preliminary data analyses indicate that you can reasonably apply the z-interval procedure. Find a 90\% confidence interval for the mean number of tongue flicks per 20 minutes for all juvenile common lizards. Assume a population standard deviation of 190.0. Note: The sum of the data is 8466. Confidence interval: ([ANS], [ANS]).
b) Which of the following is the correct interpretation for your answer in part (a)? [ANS] A. We can be 90\% confident that the mean number of tongue flicks per 20 minutes for this sample of 17 lizards lies in the interval  B. There is a 90\% chance that the mean number of tongue flicks per 20 minutes for all juvenile common lizards lies in the interval  C. We can be 90\% confident that the mean number of tongue flicks per 20 minutes for all juvenile common lizards lies in the interval  D. None of the above"
711,['171'],['149'],Find the minimum sample size needed to be $99$ \% confident that the sample variance is within $30$ \% of the population variance. [ANS]
712,"['2 x-4-2*3', 'x-3']","['2x - 10', 'x - 3']","Simplify the expression 2-\frac{4}{x-3} and give your answer in the form of \frac{f(x)}{g(x)}. Your answer for the function $f(x)$ is: [ANS]
Your answer for the function $g(x)$ is: [ANS]"
714,"['p', 'q', 'p', 'q', 'f', 'd']","['p, q', 'q, p', 'd, f']","In each of the following equations, determine which variable represents the angle and which variable represents the value of the trigonometric function.
(a) In the equation $q=\sin p$, [ANS] represents the angle and [ANS] represents the value of the trigonometric function. (b) In the equation $p=\tan^{-1}q$, [ANS] represents the angle and [ANS] represents the value of the trigonometric function. (c) In the equation $\arccos d=f$, [ANS] represents the angle and [ANS] represents the value of the trigonometric function."
715,"['-P^2+25', 'QUADRATIC']",['-P^2 + 25'],"Simplify the function L(P)=(P+5)(5-P) by expanding and combining like terms. Simplify your answer as much as possible. $L(P)=$ [ANS]
Is $L(P)$ a constant, linear, quadratic, or cubic function, or none of these? [ANS]"
716,"['-0.866025403784439', '0.5', '-1.73205080756888', '2', '-0.577350269189626']","['-\\dfrac{\\sqrt{3}}{2}, \\dfrac{1}{2}, -\\sqrt{3}, 2, -\\dfrac{\\sqrt{3}}{3}']","Given $\csc(\alpha)=-2\sqrt 3/3$ and $3\pi/2<\alpha<2\pi$, find the exact values of the remaining five trigonometric functions. Note: You are not allowed to use decimals in your answer. $\sin(\alpha)$=[ANS]. $\cos(\alpha)$=[ANS]. $\tan(\alpha)$=[ANS]. $\sec(\alpha)$=[ANS]. $\cot(\alpha)$=[ANS]."
718,"['1337', '435', '37.5']","['1337', '435', '37.5']","The volume of air contained in the lungs of a certain athlete is modeled by the equation $v=451 \sin (75 \pi t)+886$, where $t$ is time in minutes, and $v$ is volume in cubic centimeters. What is the maximum possible volume of air in the athlete's lungs? Maximum volume=[ANS] cubic centimeters What is the minimum possible volume of air in the athlete's lungs? Minimum volume=[ANS] cubic centimeters How many breaths does the athlete take per minute? [ANS] breaths per minute"
719,"['A', 'C', 'DG', 'A', 'D', 'D']","['A', 'C', 'D, G', 'A', 'D', 'D']","McBeans magazine recently published a news article about caffeine consumption in universities that claims that 80\% of people at universities drink coffee regularly. Moonbucks, a popular coffee chain, is interested in opening a new store on UBC campus. After reading McBeans' article, they will consider opening a store in UBC if more than 80\% of the people in UBC drink coffee regularly. A random sample of people from UBC was taken, and it was found that 680 out of 810 survey participants considered themselves as regular coffee drinkers. Does Moonbucks' survey result provide sufficient evidence to support opening a store at UBC?
Part i) What is the parameter of interest? [ANS] A. The proportion of all people at UBC that drink coffee regularly.  B. The proportion of people at UBC that drink coffee regularly out of the 810 surveyed.  C. All people at UBC that drinks coffee regularly.  D. Whether a person at UBC drinks coffee regularly.
Part ii) Let $p$ be the population proportion of people at UBC that drink coffee regularly. What are the null and alternative hypotheses? [ANS] A. Null: $p=0.80$. Alternative: $p=0.84$.  B. Null: $p=0.84$. Alternative: $p > 0.80$.  C. Null: $p=0.80$. Alternative: $p > 0.80$.  D. Null: $p=0.84$. Alternative: $p \ne 0.84$.  E. Null: $p=0.80$. Alternative: $p \ne 0.80$.  F. Null: $p=0.84$. Alternative: $p > 0.84$.
Part iii) The $P$-value is found to be about 0.0025. Using all the information available to you, which of the following is/are correct? (check all that apply) [ANS] A. The observed proportion of people at UBC that drink coffee regularly is unusually low if the reported value 80\% is incorrect.  B. The observed proportion of people at UBC that drink coffee regularly is unusually low if the reported value 80\% is correct.  C. Assuming the reported value 80\% is incorrect, there is a 0.0025 probability that in a random sample of 810, at least 680 of the people at UBC regularly drink coffee  D. Assuming the reported value 80\% is correct, there is a 0.0025 probability that in a random sample of 810, at least 680 of the people at UBC regularly drink coffee.  E. The reported value 80\% must be false.  F. The observed proportion of people at UBC that drink coffee regularly is unusually high if the reported value 80\% is incorrect.  G. The observed proportion of people at UBC that drink coffee regularly is unusually high if the reported value 80\% is correct.
Part iv) What is an appropriate conclusion for the hypothesis test at the 5\% significance level? [ANS] A. There is sufficient evidence to support opening a store at UBC.  B. There is insufficient evidence to support opening a store at UBC.  C. There is a 5\% probability that the reported value 80\% is true.  D. Both A. and C.  E. Both B. and C.
Part v) Which of the following scenarios describe the Type II error of the test? [ANS] A. The data do not provide sufficient evidence to support opening a store at UBC when in fact the true proportion of UBC people who drink coffee regularly is equal to the reported value 80\%.  B. The data provide sufficient evidence to support opening a store at UBC when in fact the true proportion of UBC people who drink coffee regularly is equal to the reported value 80\%.  C. The data provide sufficient evidence to support opening a store at UBC when in fact the true proportion of UBC people who drink coffee regularly exceeds the reported value 80\%.  D. The data do not provide sufficient evidence to support opening a store at UBC when in fact the true proportion of UBC people who drink coffee regularly exceeds the reported value 80\%.
Part vi) Based on the result of the hypothesis test, which of the following types of errors are we in a position of committing? [ANS] A. Type II error only.  B. Both Type I and Type II errors.  C. Neither Type I nor Type II errors.  D. Type I error only."
721,"['cos', '163', '327', '+', 'sin', '163', '327']",['\\cos(163)\\cos(327)+\\sin(163)\\sin(327)'],"Complete the following:
$\cos(163-327)=$ [ANS] $($ [ANS] $)$ $\cdot \cos($ [ANS] $)$ [ANS] [ANS] $($ [ANS] $)$ $\cdot \sin($ [ANS] $)$ Note that the given angles are in radians. Note that the given angles are in radians."
722,"['D', 'D', 'A']","['D', 'D', 'A']","For each problem, select the best response.
(a) A newspaper conducted a statewide survey concerning the 1998 race for state senator. The newspaper took a SRS of 1200 registered voters and found that 620 would vote for the Republican candidate. Let $p$ represent the proportion of registered voters in the state who would vote for the Republican candidate. How large a sample $n$ would you need to estimate $p$ with a margin of error 0.01 with 95 percent confidence? Use the guess $p=.5$ as the value of $p$. [ANS] A. 49  B. 1500  C. 4800  D. 9604
(b) A newspaper conducted a statewide survey concerning the 1998 race for state senator. The newspaper took a SRS of 1200 registered voters and found that 620 would vote for the Republican candidate. Let $p$ represent the proportion of registered voters in the state who would vote for the Republican candidate. A 90 percent confidence interval for $p$ is: [ANS] A. 0.517 $\pm$ 0.249  B. 0.517 $\pm$ 0.014  C. 0.517 $\pm$ 0.028  D. 0.517 $\pm$ 0.024
(c) A radio talk show host with a large audience is interested in the proportion $p$ of adults in his listening area who think the drinking age should be lowered to 18. He asks, 'Do you think the drinking age should be reduced to 18 in light of the fact that 18 year olds are eligible for military service?' He asks listeners to phone in and vote 'yes' if they agree the drinking age should be lowered to 18, and 'no' if not. Of the 100 people who phoned in, 70 answered 'yes.' Which of the following assumptions for inference about a proportion using a confidence interval are violated? [ANS] A. The data are an SRS from the population of interest.  B. The sample size is large enough so that the count of failures $n(1-\hat{p})$ is 15 or more.  C. The sample size is large enough so that the count of successes $n\hat{p}$ is 15 or more.  D. The population is at least ten times as large as the sample."
723,"['22', 'ln(0.462)']","['22', 'ln(0.462)']","Convert the exponential equation to the form $Q=ae^{kt}$. In the blanks, give the corresponding values for the values of $a$ and $k$ once you have rewritten the formula. Give your answer for $k$ as a decimal, not a percent. $Q=22 (0.462)^t$ $a=$ [ANS]
$k=$ [ANS]"
726,['240*180/pi'],['13751'],Determine the degree measure for the angle $240$ radians. $240$ radians=[ANS] degrees
730,['-736'],['0'],The purchase value of an office computer is 12760 dollars. Its annual depreciation is 1928 dollars. The value of the compter after 7 years is [ANS] dollars.
731,"['19', '95']","['19', '95']","Samples are collected from two independent populations to conduct a hypothesis test for the difference of the means $\mu_1-\mu_2$. If the sample size $n_2$ from population 2 is 5 times larger than the sample size $n_1$ from population 1, and the degrees of freedom for the test statistic is 112, then what are the sample sizes? $n_1$=[ANS]
$n_2$=[ANS]"
738,"['13', '18']","['5', '26']","A statistician had a data set containing 13 data points written in his research notebook. He spilled coffee on his notebook and now he cannot read two of the data values. He remembers that the sample mean of the original data set was 28.538 and the sample median was 26. Use your power of deduction and the 11 still readable data values given below, to determine the range of possible values for the two lost data points.
27, \ 26, \ 23, \ 31, \ 36, \ 14, \ 21, \ 41, \ 47, \ 53, \ 21 Smallest possible lost data value: $=$ [ANS]
Largest possible lost data value: $=$ [ANS]"
745,"['12.25 = 1.75*n', '7']",['7'],"(a) Eric plans to spend \$12.25 on ice cream cones at \$1.75 each. Write an equation whose solution is the number of ice cream cones he can buy. Use $n$ for the number of ice cream cones. You may asssume there is no tax. [ANS]
(b) Solve your equation above for the number of ice cream cones $n$. $n=$ [ANS]"
746,"['217', 'LARGER']","['216', 'LARGER']","Suppose we want a 95\% confidence interval for the average amount spent on books by freshmen in their first year at college. The amount spent has a normal distribution with standard deviation \$30.
(a) How large should the sample be if the margin of error is to be less than \$4? ANSWER: [ANS]
(b) If we wanted a smaller margin of error, we would need a [ANS] sample. (Enter: ''LARGER'', ''SMALLER'' or ''SAME SIZE'', without the quotes.)"
749,['19.7307692307692'],['19.7'],"A Statistics professor assigned 10 quizzes over the course of the semester. He wanted to see if there was a relationship between the total mark of all 10 quizzes and the final exam mark. There were 276 students who completed all the quizzes and wrote the final exam. The standard deviation of the total quiz marks was 13, and that of the final exam was 19. The correlation between the total quiz mark and the final exam was 0.75. Based on the least squares regression line fitted to the data of the 276 students, if a student scored 18 points above the mean of total quiz marks, then how many points above the mean on the final would you predict her final exam grade to be? The predicted final exam grade is [ANS] above the mean on the final. Round your answer to one decimal place, but do not round in intermediate steps."
752,"['AB', 'AD', 'DE', 'CDE', 'D', 'AC', 'B']","['C = AB', 'E = AD', 'A = DE', 'B = CE', 'E', 'F', 'H']","The $2^{5-2}$ design with 5 factors A, B, C, D, E is based on 2 generators that can be equivalently written as I=ABC=ADE. Deduce the full defining relation before procedure to the questions below. Part a) Suppose we use the 3 columns A,B,D to generate the 8 treatment combinations. (a1) How is the column C expressed in terms of A,B,D? [ANS]
(a2) How is the column E expressed in terms of A,B,D? [ANS]
Part b) Suppose we use the 3 columns C,D,E to generate the 8 treatment combinations. (b1) How is the column A expressed in terms of C,D,E? [ANS]
(b2) How is the column B expressed in terms of C,D,E? [ANS]
Part c) What are the treatment combinations in your quarter fraction? (The notation abc, for example, indicates that factors A, B, and C are at their+1 levels. There is no d or e in abc, indicating that factors D and E are at their-1 levels.) [ANS] A. e ac bce ab d acde bcd abde  B. e cde bd bc a ac abde abcde  C. c ae b abce cde ad bde abcd  D. ce a be abc cd ade bd abcde  E. None of the above
Part d) Which of the following 2-way interactions are not aliased to a main effect? Choose all that apply [ANS] A. CD  B. DE  C. BD  D. BC  E. AD  F. None of the above
Part e) There are 7 estimable quantities: 5 main effects and 10 2-way interactions. Which main effect(s) is/are aliased to two 2-way interactions? Choose all that apply [ANS] A. E  B. A  C. C  D. A,B,C  E. A,D,E  F. D  G. B  H. None of the above"
754,['(52000-((52000+26000)/2))*sin((3.14159265358979/6)*x+(3.14159265358979/6)*(3-(4+1)))+((52000+26000)/2)'],['13000 \\sin\\left(\\frac{\\pi}{6}(x - 2)\\right) + 39000'],"Over the past several years, the owner of a boutique on Aspen Avenue has observed a pattern in the amount of revenue for the store. The revenue reaches a maximum of about \$ 52000 in May and a minimum of about \$ 26000 in November. Suppose the months are numbered 1 through 12, and write a function of the form $f(x)=A\sin(B \left [x-C \right])+D$ that models the boutique's revenue during the year, where $x$ corresponds to the month. If needed, you can enter $\pi$=3.1416... as 'pi' in your answer. $f(x)=$ [ANS]"
759,"['12+20/4', '>', '(12+20)/4']",['>'],"Simplify each side and identify the correct $<$, $=$ or $>$
$12+20 \div 4 \; \;?? \; \; (12+20) \div 4$ [ANS] [ANS]:>> [ANS]"
761,['188.908450704225'],['189'],"At 3:00 PM a man 145 cm tall casts a shadow 142 cm long. At the same time, a tall building nearby casts a shadow 185 m long. How tall is the building? [ANS]
Give your answer in meters. (You may need the fact that 100 cm=1 m.)"
763,['80%'],['80.00\\%'],"In the past few seasons’ basketball games, Penelope attempted $330$ free throws, and made $264$ of them. What percent of free throws did Penelope make? Fill in the blank with a percent. Solution: Penelope made [ANS] of free throws in the past few seasons."
